nid,type,language,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate,vid,revision_uid,title,body,teaser,log,revision_timestamp,format,name,picture,data,path,field_mp3['0']['fid'],field_mp3['0']['uid'],field_mp3['0']['filename'],field_mp3['0']['filepath'],field_mp3['0']['filemime'],field_mp3['0']['filesize'],field_mp3['0']['status'],field_mp3['0']['timestamp'],field_mp3['0']['list'],field_mp3['0']['data'],field_artiste['0']['value'],field_ordre['0']['value'],field_article['0']['nid'],field_compositeur['0']['value'],field_genre['0']['value'],field_langue['0']['value'],_workflow,taxonomy['2']['61'],taxonomy['2']['114'],taxonomy['2']['126'],taxonomy['tags']['3'],taxonomy['tags']['4'],menu['link_title'],menu['mlid'],menu['plid'],menu['menu_name'],menu['weight'],menu['module'],menu['expanded'],menu['hidden'],menu['has_children'],menu['customized'],menu['parent_depth_limit'],taxonomy['2']['113'],taxonomy['2']['55'],taxonomy['2']['57'],taxonomy['2']['124'],taxonomy['2']['54'],taxonomy['2']['79'],taxonomy['2']['125'],field_langue['1']['value'],taxonomy['2']['52'],taxonomy['2']['50'],taxonomy['2']['53'],taxonomy['2']['48'],taxonomy['2']['58'],taxonomy['2']['63'],field_mp3['0'],taxonomy['2']['51'],taxonomy['2']['62'],field_mp3['0']['data']['description'],field_genre['1']['value']
177,corpus,,3,1,1260641414,1389890721,0,0,0,0,0,0,177,0,Abandonnez-vous à la détente,"<p>Extrait du disque d'hypnose <em>Méta-relaxation : créativité face aux problèmes</em>, années 90</p>","<p>Extrait du disque d'hypnose <em>Méta-relaxation : créativité face aux problèmes</em>, années 90</p>",Importerad by corpus importation module by bachir | 2009-11-26 19:33:41 +0100.,1389890721,1,bachir,,"a:1:{s:13:""form_build_id"";s:37:""form-db4a42aedd738cd1dc169caeefd625de"";}",corpus/choralites/track-abandonnez-vous-la-detente,56,3,Abandonnez-vous_a_la_detente.mp3,sites/default/files/corpus//Abandonnez-vous_a_la_detente.mp3,,0,1,1259260421,1,NULL,Hypnose,NULL,NULL,Manuel Coursin,77,130,3,61,114,126,tutoriel,français,,0,0,primary-links,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,
176,corpus,,3,1,1260641564,1389890721,0,0,0,0,0,0,176,0,Cuisine et littérature,<p>Extrait d'une cassette trouvée</p>,<p>Extrait d'une cassette trouvée</p>,Importerad by corpus importation module by bachir | 2009-11-26 19:33:40 +0100.,1389890721,1,bachir,,"a:1:{s:13:""form_build_id"";s:37:""form-db4a42aedd738cd1dc169caeefd625de"";}",corpus/projections/track-cuisine-et-litterature,1469,13,36_04_cuisine_et_litte9rature.mp3,sites/default/files/corpus/36_04_cuisine_et_litte9rature.mp3,audio/mpeg,3731247,1,1331743329,1,NULL,Cassette,NULL,NULL,Eve Couturier,95,130,3,,,126,Message,français,,0,0,primary-links,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,
184,corpus,,3,1,1260641368,1389890721,0,0,0,0,0,0,184,0,Ashanti,"<p>Jimmy et Imrul, extrait du projet <em>Radio Ld'A </em>de Lincoln Tobier, Laboratoires d'Aubervilliers, 2002</p>","<p>Jimmy et Imrul, extrait du projet <em>Radio Ld'A </em>de Lincoln Tobier, Laboratoires d'Aubervilliers, 2002</p>",Importerad by corpus importation module by bachir | 2009-11-26 19:33:45 +0100.,1389890721,1,bachir,,"a:1:{s:13:""form_build_id"";s:37:""form-db4a42aedd738cd1dc169caeefd625de"";}",corpus/focalisations/track-ashanti,63,3,Ashanti.mp3,sites/default/files/corpus//Ashanti.mp3,,0,1,1259260425,1,NULL,Radio Ld'A,NULL,NULL,Manuel Coursin,96,130,3,,,126,Radio,français,,0,0,primary-links,0,menu,0,0,0,0,8,113,,,,,,,,,,,,,,,,,,
186,corpus,,3,1,1260641368,1389890721,0,0,0,0,0,0,186,0,Bergers,"<p>Appel de bergers, extrait de <em>Le berger, la stagiaire et les moutons</em> de Robin Hunzinger, Arte Radio, 2005</p>","<p>Appel de bergers, extrait de <em>Le berger, la stagiaire et les moutons</em> de Robin Hunzinger, Arte Radio, 2005</p>",Importerad by corpus importation module by bachir | 2009-11-26 19:33:46 +0100.,1389890721,1,bachir,,"a:1:{s:13:""form_build_id"";s:37:""form-db4a42aedd738cd1dc169caeefd625de"";}",corpus/espacements/track-bergers,65,3,Bergers.mp3,sites/default/files/corpus//Bergers.mp3,,0,1,1259260426,1,NULL,Berger,NULL,NULL,NULL,68,130,3,,,,quotidien,français,,0,0,primary-links,0,menu,0,0,0,0,8,,55,,,,,,,,,,,,,,,,,
189,corpus,,3,1,1260641407,1389890721,0,0,0,0,0,0,189,0,C'est fini,"<p>Extrait du spectacle <em>Peter Peter Pet...er !!! </em> de Stéphanie Chêne, 2006</p>","<p>Extrait du spectacle <em>Peter Peter Pet...er !!! </em> de Stéphanie Chêne, 2006</p>",Importerad by corpus importation module by bachir | 2009-11-26 19:33:47 +0100.,1389890721,1,bachir,,"a:1:{s:13:""form_build_id"";s:37:""form-db4a42aedd738cd1dc169caeefd625de"";}",corpus/timbres/track-cest-fini,68,3,Cest_fini.mp3,sites/default/files/corpus//Cest_fini.mp3,,0,1,1259260427,1,NULL,Mehdi Ahoudig,NULL,NULL,NULL,64,130,3,,,,théâtre,français,,0,0,primary-links,0,menu,0,0,0,0,8,,,57,,,,,,,,,,,,,,,,
192,corpus,,3,1,1260641408,1389890721,0,0,0,0,0,0,192,0,De tout mon amour,"<p>Extrait d'un blog vidéo, YouTube, 2007</p>","<p>Extrait d'un blog vidéo, YouTube, 2007</p>",Importerad by corpus importation module by bachir | 2009-11-26 19:33:48 +0100.,1389890721,1,bachir,,"a:1:{s:13:""form_build_id"";s:37:""form-db4a42aedd738cd1dc169caeefd625de"";}",corpus/projections/track-de-tout-mon-amour,71,3,De_tout_mon_amour.mp3,sites/default/files/corpus//De_tout_mon_amour.mp3,,0,1,1259260429,1,NULL,Ado,NULL,NULL,NULL,95,130,3,,,126,Message,français,,0,0,primary-links,0,menu,0,0,0,0,8,,,,124,,,,,,,,,,,,,,,
194,corpus,,3,1,1260641409,1389890721,0,0,0,0,0,0,194,0,Fabienne Tabard,"<p>Jean-Pierre Léaud, extrait du film <em>Baisers volés </em>de François Truffaut, 1968</p>","<p>Jean-Pierre Léaud, extrait du film <em>Baisers volés </em>de François Truffaut, 1968</p>",Importerad by corpus importation module by bachir | 2009-11-26 19:33:49 +0100.,1389890721,1,bachir,,"a:1:{s:13:""form_build_id"";s:37:""form-db4a42aedd738cd1dc169caeefd625de"";}",corpus/cadences/track-fabienne-tabard,1446,13,15_fabienne_tabard.mp3,sites/default/files/corpus/15_fabienne_tabard.mp3,audio/mpeg,3466888,1,1331743310,1,NULL,François Truffaut,NULL,NULL,Fanny de Challié,128,130,3,,,,Film,français,,0,0,primary-links,0,menu,0,0,0,0,8,,,,,54,79,,,,,,,,,,,,,
195,corpus,,3,1,1260641330,1389890721,0,0,0,0,0,0,195,0,Gospel,"<p>Sermon d'une pasteure aux États-Unis, extrait du disque <em>Les Voix du monde : une anthologie des expressions orales</em>, 1996</p>","<p>Sermon d'une pasteure aux États-Unis, extrait du disque <em>Les Voix du monde : une anthologie des expressions orales</em>, 1996</p>",Importerad by corpus importation module by bachir | 2009-11-26 19:33:50 +0100.,1389890721,1,bachir,,"a:1:{s:13:""form_build_id"";s:37:""form-db4a42aedd738cd1dc169caeefd625de"";}",corpus/melodies/track-gospel,74,3,Gospel.mp3,sites/default/files/corpus//Gospel.mp3,,0,1,1259260430,1,NULL,Pasteur,NULL,NULL,Joris Lacoste,91,133,3,,114,,Rituel,anglais,,0,0,primary-links,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,
196,corpus,,3,1,1260641409,1389890721,0,0,0,0,0,0,196,0,"Hey you, don't watch that","<p>Madness, extrait du disque <em>One Step Beyond</em>, 1979","<p>Madness, extrait du disque <em>One Step Beyond</em>, 1979",Importerad by corpus importation module by bachir | 2009-11-26 19:33:50 +0100.,1389890721,1,bachir,,"a:1:{s:13:""form_build_id"";s:37:""form-db4a42aedd738cd1dc169caeefd625de"";}",corpus/projections/track-hey-you-dont-watch,75,3,Hey_you_dont_watch_that.mp3,sites/default/files/corpus//Hey_you_dont_watch_that.mp3,,0,1,1259260431,1,NULL,Madness,NULL,NULL,NULL,108,133,3,,,126,Musique,anglais,,0,0,primary-links,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,
199,corpus,,3,1,1260641369,1389890721,0,0,0,0,0,0,199,0,Itinéraire,"<p>René Lussier, extrait du disque <em>Le Trésor de la langue</em>, 1989</p>","<p>René Lussier, extrait du disque <em>Le Trésor de la langue</em>, 1989</p>",Importerad by corpus importation module by bachir | 2009-11-26 19:33:52 +0100.,1389890721,1,bachir,,"a:1:{s:13:""form_build_id"";s:37:""form-db4a42aedd738cd1dc169caeefd625de"";}",corpus/melodies/track-itineraire,78,3,Itineraire.mp3,sites/default/files/corpus//Itineraire.mp3,,0,1,1259260432,1,NULL,René Lussier,NULL,NULL,NULL,108,130,3,,114,,Musique,français,,0,0,primary-links,0,menu,0,0,0,0,8,,,,,,,,,,,,,,,,,,,
