nid,tid,weight_in_tid,name
148,56,1,Adresses
18,54,49,Cadences
128,54,0,Cadences
142,54,51,Cadences
194,54,27,Cadences
206,54,7,Cadences
226,54,36,Cadences
230,54,52,Cadences
231,54,13,Cadences
233,54,31,Cadences
234,54,26,Cadences
238,54,3,Cadences
242,54,29,Cadences
243,54,43,Cadences
247,54,53,Cadences
250,54,8,Cadences
251,54,24,Cadences
260,54,40,Cadences
261,54,25,Cadences
263,54,47,Cadences
275,54,5,Cadences
621,54,21,Cadences
785,54,46,Cadences
830,54,22,Cadences
1051,54,39,Cadences
1119,54,37,Cadences
1169,54,50,Cadences
1176,54,9,Cadences
1177,54,10,Cadences
1178,54,12,Cadences
1179,54,14,Cadences
1180,54,15,Cadences
1181,54,16,Cadences
1182,54,18,Cadences
1183,54,20,Cadences
1184,54,28,Cadences
1185,54,30,Cadences
1186,54,32,Cadences
1187,54,34,Cadences
1188,54,38,Cadences
1189,54,41,Cadences
1193,54,54,Cadences
1194,54,2,Cadences
1195,54,6,Cadences
1196,54,17,Cadences
1197,54,33,Cadences
1198,54,45,Cadences
1199,54,55,Cadences
1201,54,44,Cadences
1726,54,48,Cadences
1763,54,35,Cadences
1951,54,11,Cadences
1953,54,4,Cadences
1958,54,23,Cadences
1969,54,19,Cadences
1979,54,42,Cadences
135,61,0,Choralités
170,61,52,Choralités
177,61,33,Choralités
218,61,6,Choralités
222,61,28,Choralités
673,61,39,Choralités
696,61,51,Choralités
820,61,30,Choralités
821,61,26,Choralités
822,61,35,Choralités
823,61,4,Choralités
824,61,44,Choralités
829,61,22,Choralités
830,61,11,Choralités
831,61,38,Choralités
832,61,27,Choralités
833,61,45,Choralités
834,61,16,Choralités
836,61,24,Choralités
837,61,36,Choralités
838,61,49,Choralités
839,61,47,Choralités
840,61,29,Choralités
842,61,43,Choralités
845,61,23,Choralités
846,61,10,Choralités
847,61,13,Choralités
848,61,48,Choralités
849,61,37,Choralités
1183,61,31,Choralités
1192,61,32,Choralités
1200,61,3,Choralités
1201,61,5,Choralités
1202,61,7,Choralités
1203,61,8,Choralités
1204,61,9,Choralités
1206,61,12,Choralités
1207,61,14,Choralités
1208,61,15,Choralités
1209,61,17,Choralités
1210,61,19,Choralités
1211,61,20,Choralités
1212,61,21,Choralités
1213,61,25,Choralités
1214,61,34,Choralités
1215,61,40,Choralités
1216,61,41,Choralités
1217,61,42,Choralités
1218,61,46,Choralités
1795,61,53,Choralités
1966,61,18,Choralités
17,52,1,Compressions
30,52,41,Compressions
72,52,0,Compressions
226,52,13,Compressions
606,52,2,Compressions
607,52,12,Compressions
610,52,32,Compressions
614,52,38,Compressions
615,52,22,Compressions
616,52,29,Compressions
618,52,3,Compressions
619,52,33,Compressions
620,52,5,Compressions
621,52,37,Compressions
622,52,34,Compressions
625,52,10,Compressions
626,52,31,Compressions
627,52,51,Compressions
628,52,4,Compressions
629,52,20,Compressions
632,52,24,Compressions
634,52,44,Compressions
636,52,6,Compressions
637,52,25,Compressions
638,52,21,Compressions
822,52,28,Compressions
923,52,8,Compressions
929,52,52,Compressions
930,52,19,Compressions
1219,52,7,Compressions
1220,52,9,Compressions
1221,52,11,Compressions
1222,52,14,Compressions
1223,52,15,Compressions
1224,52,16,Compressions
1225,52,17,Compressions
1226,52,18,Compressions
1227,52,23,Compressions
1228,52,26,Compressions
1229,52,27,Compressions
1230,52,30,Compressions
1231,52,35,Compressions
1232,52,36,Compressions
1796,52,53,Compressions
1809,52,54,Compressions
1810,52,55,Compressions
1831,52,56,Compressions
201,125,42,Emphases
204,125,39,Emphases
209,125,7,Emphases
227,125,30,Emphases
243,125,8,Emphases
275,125,29,Emphases
650,125,4,Emphases
720,125,5,Emphases
760,125,22,Emphases
926,125,24,Emphases
933,125,26,Emphases
974,125,27,Emphases
1166,125,0,Emphases
1176,125,14,Emphases
1177,125,10,Emphases
1233,125,3,Emphases
1234,125,6,Emphases
1235,125,9,Emphases
1236,125,11,Emphases
1237,125,12,Emphases
1238,125,13,Emphases
1239,125,16,Emphases
1240,125,35,Emphases
1241,125,18,Emphases
1242,125,19,Emphases
1243,125,20,Emphases
1244,125,21,Emphases
1245,125,23,Emphases
1246,125,28,Emphases
1247,125,31,Emphases
1248,125,32,Emphases
1249,125,34,Emphases
1250,125,37,Emphases
1251,125,38,Emphases
1252,125,33,Emphases
1253,125,40,Emphases
1254,125,41,Emphases
1255,125,43,Emphases
1305,125,36,Emphases
1828,125,44,Emphases
1905,125,25,Emphases
1951,125,17,Emphases
1976,125,15,Emphases
1984,125,1,Emphases
1943,187,0,"encyclopédie de la parole"
16,55,34,Espacements
19,55,35,Espacements
129,55,0,Espacements
186,55,14,Espacements
229,55,30,Espacements
275,55,31,Espacements
640,55,16,Espacements
641,55,13,Espacements
642,55,11,Espacements
646,55,4,Espacements
648,55,29,Espacements
653,55,20,Espacements
654,55,40,Espacements
655,55,24,Espacements
656,55,41,Espacements
657,55,18,Espacements
658,55,45,Espacements
659,55,2,Espacements
660,55,19,Espacements
662,55,6,Espacements
663,55,5,Espacements
664,55,46,Espacements
679,55,15,Espacements
720,55,25,Espacements
970,55,12,Espacements
971,55,22,Espacements
972,55,8,Espacements
973,55,21,Espacements
974,55,23,Espacements
975,55,26,Espacements
976,55,43,Espacements
977,55,27,Espacements
978,55,7,Espacements
980,55,3,Espacements
982,55,42,Espacements
984,55,37,Espacements
985,55,38,Espacements
986,55,10,Espacements
987,55,39,Espacements
989,55,36,Espacements
1105,55,32,Espacements
1297,55,33,Espacements
1305,55,44,Espacements
1306,55,17,Espacements
1307,55,28,Espacements
1977,55,9,Espacements
130,113,0,Focalisations
184,113,8,Focalisations
210,113,4,Focalisations
214,113,5,Focalisations
672,113,29,Focalisations
683,113,17,Focalisations
720,113,22,Focalisations
852,113,19,Focalisations
867,113,33,Focalisations
926,113,3,Focalisations
970,113,6,Focalisations
997,113,26,Focalisations
1101,113,12,Focalisations
1130,113,13,Focalisations
1214,113,9,Focalisations
1251,113,21,Focalisations
1256,113,2,Focalisations
1258,113,7,Focalisations
1260,113,10,Focalisations
1261,113,11,Focalisations
1262,113,14,Focalisations
1263,113,15,Focalisations
1264,113,16,Focalisations
1265,113,18,Focalisations
1266,113,20,Focalisations
1267,113,23,Focalisations
1268,113,24,Focalisations
1269,113,27,Focalisations
1270,113,30,Focalisations
1271,113,31,Focalisations
1272,113,32,Focalisations
1273,113,34,Focalisations
1821,113,35,Focalisations
1957,113,25,Focalisations
1964,113,28,Focalisations
127,53,0,Indexations
138,53,34,Indexations
143,53,35,Indexations
155,53,36,Indexations
229,53,11,Indexations
233,53,4,Indexations
253,53,7,Indexations
640,53,2,Indexations
666,53,39,Indexations
667,53,10,Indexations
668,53,21,Indexations
669,53,37,Indexations
671,53,16,Indexations
672,53,18,Indexations
673,53,9,Indexations
675,53,38,Indexations
676,53,13,Indexations
678,53,12,Indexations
679,53,3,Indexations
681,53,5,Indexations
682,53,29,Indexations
683,53,32,Indexations
687,53,27,Indexations
688,53,8,Indexations
690,53,22,Indexations
691,53,17,Indexations
765,53,26,Indexations
839,53,14,Indexations
847,53,25,Indexations
910,53,20,Indexations
1170,53,15,Indexations
1171,53,24,Indexations
1173,53,31,Indexations
1174,53,33,Indexations
1175,53,30,Indexations
1960,53,28,Indexations
1967,53,23,Indexations
1968,53,19,Indexations
21,59,1,Intonations
1928,59,0,Intonations
1929,59,0,Intonations
1930,59,0,Intonations
1931,59,0,Intonations
1932,59,0,Intonations
1933,59,0,Intonations
1934,59,0,Intonations
1935,59,0,Intonations
1936,59,0,Intonations
1937,59,0,Intonations
1938,59,0,Intonations
1939,59,0,Intonations
1940,59,0,Intonations
1941,59,0,Intonations
1942,59,0,Intonations
133,114,0,Mélodies
177,114,35,Mélodies
195,114,28,Mélodies
199,114,3,Mélodies
211,114,43,Mélodies
214,114,23,Mélodies
226,114,30,Mélodies
228,114,27,Mélodies
234,114,40,Mélodies
249,114,8,Mélodies
274,114,15,Mélodies
650,114,32,Mélodies
696,114,25,Mélodies
701,114,37,Mélodies
703,114,33,Mélodies
713,114,14,Mélodies
720,114,18,Mélodies
931,114,36,Mélodies
974,114,6,Mélodies
1004,114,17,Mélodies
1010,114,13,Mélodies
1052,114,26,Mélodies
1065,114,4,Mélodies
1135,114,7,Mélodies
1150,114,10,Mélodies
1152,114,11,Mélodies
1178,114,9,Mélodies
1182,114,29,Mélodies
1191,114,34,Mélodies
1241,114,31,Mélodies
1245,114,20,Mélodies
1274,114,5,Mélodies
1276,114,12,Mélodies
1277,114,16,Mélodies
1278,114,19,Mélodies
1279,114,22,Mélodies
1280,114,38,Mélodies
1281,114,39,Mélodies
1282,114,41,Mélodies
1283,114,42,Mélodies
1822,114,44,Mélodies
1952,114,24,Mélodies
1980,114,21,Mélodies
1981,114,1,Mélodies
29,51,2,Plis
73,51,0,Plis
147,51,3,Plis
708,51,13,Plis
709,51,15,Plis
710,51,12,Plis
711,51,26,Plis
730,51,24,Plis
862,51,8,Plis
864,51,20,Plis
904,51,4,Plis
934,51,19,Plis
990,51,11,Plis
1226,51,18,Plis
1245,51,6,Plis
1273,51,10,Plis
1284,51,5,Plis
1285,51,7,Plis
1286,51,9,Plis
1289,51,16,Plis
1290,51,17,Plis
1291,51,21,Plis
1292,51,22,Plis
1293,51,23,Plis
1294,51,25,Plis
1747,51,14,Plis
1797,51,28,Plis
1974,51,27,Plis
137,63,0,Ponctuations
156,63,37,Ponctuations
610,63,22,Ponctuations
653,63,23,Ponctuations
788,63,38,Ponctuations
934,63,35,Ponctuations
1037,63,21,Ponctuations
1059,63,2,Ponctuations
1064,63,14,Ponctuations
1069,63,8,Ponctuations
1131,63,30,Ponctuations
1132,63,16,Ponctuations
1133,63,27,Ponctuations
1134,63,7,Ponctuations
1135,63,4,Ponctuations
1136,63,5,Ponctuations
1137,63,29,Ponctuations
1138,63,32,Ponctuations
1139,63,25,Ponctuations
1140,63,28,Ponctuations
1141,63,9,Ponctuations
1142,63,39,Ponctuations
1143,63,18,Ponctuations
1144,63,6,Ponctuations
1145,63,33,Ponctuations
1146,63,43,Ponctuations
1147,63,44,Ponctuations
1148,63,19,Ponctuations
1149,63,45,Ponctuations
1150,63,13,Ponctuations
1151,63,46,Ponctuations
1152,63,12,Ponctuations
1153,63,36,Ponctuations
1154,63,34,Ponctuations
1155,63,40,Ponctuations
1156,63,41,Ponctuations
1157,63,42,Ponctuations
1246,63,31,Ponctuations
1298,63,3,Ponctuations
1299,63,10,Ponctuations
1300,63,11,Ponctuations
1301,63,15,Ponctuations
1302,63,17,Ponctuations
1303,63,20,Ponctuations
1304,63,26,Ponctuations
1827,63,47,Ponctuations
1949,63,24,Ponctuations
176,126,10,Projections
177,126,31,Projections
184,126,28,Projections
192,126,20,Projections
196,126,33,Projections
201,126,36,Projections
204,126,2,Projections
211,126,32,Projections
220,126,4,Projections
650,126,30,Projections
732,126,14,Projections
856,126,25,Projections
865,126,19,Projections
873,126,12,Projections
1009,126,24,Projections
1012,126,7,Projections
1034,126,15,Projections
1061,126,29,Projections
1101,126,23,Projections
1130,126,17,Projections
1168,126,0,Projections
1308,126,3,Projections
1309,126,5,Projections
1310,126,6,Projections
1311,126,9,Projections
1312,126,11,Projections
1313,126,13,Projections
1314,126,16,Projections
1315,126,18,Projections
1316,126,21,Projections
1317,126,22,Projections
1318,126,26,Projections
1319,126,34,Projections
1320,126,35,Projections
1321,126,37,Projections
1322,126,38,Projections
1323,126,39,Projections
1823,126,41,Projections
1955,126,27,Projections
1963,126,8,Projections
145,79,0,Répétitions
149,79,2,Répétitions
194,79,18,Répétitions
216,79,17,Répétitions
262,79,29,Répétitions
274,79,34,Répétitions
606,79,39,Répétitions
641,79,12,Répétitions
672,79,30,Répétitions
854,79,45,Répétitions
867,79,25,Répétitions
926,79,4,Répétitions
1059,79,7,Répétitions
1184,79,19,Répétitions
1202,79,22,Répétitions
1207,79,43,Répétitions
1293,79,41,Répétitions
1297,79,10,Répétitions
1324,79,3,Répétitions
1325,79,5,Répétitions
1326,79,6,Répétitions
1327,79,8,Répétitions
1328,79,9,Répétitions
1329,79,11,Répétitions
1330,79,13,Répétitions
1331,79,14,Répétitions
1332,79,15,Répétitions
1333,79,20,Répétitions
1334,79,21,Répétitions
1335,79,23,Répétitions
1336,79,24,Répétitions
1337,79,26,Répétitions
1338,79,27,Répétitions
1339,79,28,Répétitions
1340,79,31,Répétitions
1341,79,32,Répétitions
1342,79,33,Répétitions
1343,79,36,Répétitions
1344,79,37,Répétitions
1345,79,38,Répétitions
1346,79,40,Répétitions
1347,79,42,Répétitions
1348,79,44,Répétitions
1368,79,0,Répétitions
1844,79,46,Répétitions
1972,79,16,Répétitions
1978,79,35,Répétitions
20,58,46,Résidus
132,58,0,Résidus
144,58,45,Résidus
620,58,10,Résidus
646,58,18,Résidus
660,58,19,Résidus
716,58,21,Résidus
1063,58,39,Résidus
1066,58,16,Résidus
1067,58,6,Résidus
1068,58,17,Résidus
1069,58,5,Résidus
1070,58,41,Résidus
1071,58,7,Résidus
1072,58,11,Résidus
1073,58,30,Résidus
1074,58,13,Résidus
1076,58,35,Résidus
1077,58,36,Résidus
1078,58,37,Résidus
1079,58,38,Résidus
1080,58,8,Résidus
1081,58,23,Résidus
1082,58,42,Résidus
1083,58,40,Résidus
1084,58,43,Résidus
1085,58,31,Résidus
1086,58,32,Résidus
1087,58,33,Résidus
1088,58,44,Résidus
1089,58,26,Résidus
1090,58,34,Résidus
1114,58,27,Résidus
1144,58,4,Résidus
1220,58,22,Résidus
1290,58,24,Résidus
1346,58,14,Résidus
1349,58,3,Résidus
1350,58,2,Résidus
1351,58,9,Résidus
1352,58,12,Résidus
1353,58,28,Résidus
1354,58,29,Résidus
1355,58,25,Résidus
1404,58,15,Résidus
1959,58,20,Résidus
1989,58,0,Résidus
125,48,0,Responsabilités
126,48,39,Responsabilités
141,48,40,Responsabilités
244,48,20,Responsabilités
258,48,26,Responsabilités
734,48,18,Responsabilités
735,48,54,Responsabilités
736,48,41,Responsabilités
737,48,4,Responsabilités
738,48,48,Responsabilités
739,48,47,Responsabilités
740,48,49,Responsabilités
741,48,5,Responsabilités
742,48,2,Responsabilités
758,48,55,Responsabilités
759,48,43,Responsabilités
760,48,28,Responsabilités
761,48,38,Responsabilités
764,48,31,Responsabilités
766,48,24,Responsabilités
767,48,52,Responsabilités
768,48,51,Responsabilités
769,48,33,Responsabilités
770,48,6,Responsabilités
771,48,29,Responsabilités
772,48,14,Responsabilités
773,48,12,Responsabilités
774,48,11,Responsabilités
775,48,46,Responsabilités
776,48,9,Responsabilités
777,48,37,Responsabilités
778,48,10,Responsabilités
779,48,50,Responsabilités
780,48,53,Responsabilités
781,48,56,Responsabilités
782,48,27,Responsabilités
784,48,21,Responsabilités
785,48,8,Responsabilités
786,48,45,Responsabilités
848,48,22,Responsabilités
856,48,15,Responsabilités
857,48,36,Responsabilités
902,48,42,Responsabilités
1104,48,44,Responsabilités
1127,48,32,Responsabilités
1189,48,17,Responsabilités
1228,48,7,Responsabilités
1258,48,30,Responsabilités
1264,48,23,Responsabilités
1356,48,3,Responsabilités
1357,48,16,Responsabilités
1358,48,19,Responsabilités
1359,48,13,Responsabilités
1360,48,34,Responsabilités
1361,48,35,Responsabilités
1753,48,25,Responsabilités
1990,48,0,Responsabilités
15,50,2,Saturations
25,50,38,Saturations
70,50,0,Saturations
151,50,39,Saturations
226,50,13,Saturations
261,50,12,Saturations
653,50,18,Saturations
769,50,20,Saturations
772,50,4,Saturations
850,50,9,Saturations
851,50,23,Saturations
852,50,30,Saturations
854,50,27,Saturations
856,50,32,Saturations
857,50,14,Saturations
862,50,6,Saturations
864,50,7,Saturations
865,50,11,Saturations
867,50,26,Saturations
869,50,5,Saturations
870,50,47,Saturations
873,50,3,Saturations
1099,50,24,Saturations
1100,50,33,Saturations
1111,50,35,Saturations
1112,50,31,Saturations
1113,50,40,Saturations
1116,50,17,Saturations
1117,50,19,Saturations
1118,50,25,Saturations
1119,50,8,Saturations
1120,50,22,Saturations
1123,50,46,Saturations
1124,50,37,Saturations
1125,50,44,Saturations
1126,50,43,Saturations
1128,50,36,Saturations
1129,50,42,Saturations
1130,50,34,Saturations
1223,50,15,Saturations
1226,50,29,Saturations
1252,50,21,Saturations
1362,50,41,Saturations
1363,50,28,Saturations
1364,50,45,Saturations
1810,50,48,Saturations
1961,50,10,Saturations
1971,50,16,Saturations
1991,50,0,Saturations
192,124,31,Séries
200,124,12,Séries
222,124,23,Séries
224,124,4,Séries
231,124,40,Séries
236,124,3,Séries
239,124,5,Séries
262,124,15,Séries
267,124,2,Séries
850,124,9,Séries
1010,124,18,Séries
1153,124,26,Séries
1167,124,0,Séries
1170,124,37,Séries
1189,124,34,Séries
1206,124,32,Séries
1215,124,36,Séries
1217,124,24,Séries
1227,124,33,Séries
1246,124,27,Séries
1271,124,14,Séries
1365,124,6,Séries
1366,124,7,Séries
1367,124,11,Séries
1368,124,13,Séries
1369,124,16,Séries
1370,124,17,Séries
1371,124,19,Séries
1372,124,20,Séries
1373,124,21,Séries
1374,124,22,Séries
1375,124,25,Séries
1376,124,28,Séries
1377,124,29,Séries
1378,124,35,Séries
1778,124,38,Séries
1825,124,39,Séries
1962,124,8,Séries
1973,124,30,Séries
1975,124,10,Séries
136,62,0,Sympathies
158,62,2,Sympathies
822,62,23,Sympathies
824,62,24,Sympathies
831,62,13,Sympathies
838,62,26,Sympathies
1218,62,25,Sympathies
1343,62,15,Sympathies
1344,62,12,Sympathies
1379,62,3,Sympathies
1380,62,4,Sympathies
1381,62,5,Sympathies
1382,62,6,Sympathies
1383,62,7,Sympathies
1384,62,8,Sympathies
1385,62,9,Sympathies
1387,62,10,Sympathies
1388,62,11,Sympathies
1389,62,14,Sympathies
1390,62,16,Sympathies
1391,62,18,Sympathies
1392,62,19,Sympathies
1393,62,20,Sympathies
1394,62,21,Sympathies
1395,62,22,Sympathies
1396,62,27,Sympathies
1397,62,28,Sympathies
1398,62,30,Sympathies
1826,62,31,Sympathies
1954,62,29,Sympathies
1965,62,17,Sympathies
131,57,0,Timbres
150,57,2,Timbres
189,57,43,Timbres
702,57,33,Timbres
777,57,22,Timbres
799,57,16,Timbres
801,57,60,Timbres
803,57,66,Timbres
810,57,65,Timbres
994,57,7,Timbres
997,57,10,Timbres
998,57,37,Timbres
999,57,17,Timbres
1000,57,24,Timbres
1001,57,14,Timbres
1002,57,47,Timbres
1003,57,57,Timbres
1004,57,42,Timbres
1005,57,8,Timbres
1006,57,69,Timbres
1007,57,3,Timbres
1008,57,48,Timbres
1009,57,20,Timbres
1012,57,18,Timbres
1013,57,19,Timbres
1016,57,38,Timbres
1017,57,58,Timbres
1018,57,62,Timbres
1019,57,25,Timbres
1021,57,67,Timbres
1026,57,45,Timbres
1027,57,34,Timbres
1028,57,15,Timbres
1030,57,35,Timbres
1031,57,68,Timbres
1032,57,64,Timbres
1033,57,36,Timbres
1034,57,21,Timbres
1035,57,9,Timbres
1036,57,41,Timbres
1038,57,4,Timbres
1039,57,49,Timbres
1040,57,50,Timbres
1041,57,5,Timbres
1042,57,39,Timbres
1043,57,56,Timbres
1044,57,59,Timbres
1045,57,63,Timbres
1046,57,11,Timbres
1245,57,13,Timbres
1294,57,32,Timbres
1360,57,27,Timbres
1361,57,29,Timbres
1384,57,30,Timbres
1399,57,40,Timbres
1400,57,6,Timbres
1401,57,46,Timbres
1402,57,23,Timbres
1403,57,31,Timbres
1766,57,51,Timbres
1768,57,52,Timbres
1771,57,55,Timbres
1779,57,53,Timbres
1780,57,54,Timbres
1784,57,61,Timbres
1845,57,44,Timbres
1950,57,26,Timbres
1970,57,12,Timbres
