nid,uid,status,title,body,teaser,mp3_filename,mp3_filemime,mp3_filesize,mp3_status,mp3_timestamp,mp3_list,artiste,compositeur,taxonomy['tags']['3'],taxonomy['tags']['4']
177,3,1,Abandonnez-vous à la détente,"<p>Extrait du disque d'hypnose <em>Méta-relaxation : créativité face aux problèmes</em>, années 90</p>","<p>Extrait du disque d'hypnose <em>Méta-relaxation : créativité face aux problèmes</em>, années 90</p>",Abandonnez-vous_a_la_detente.mp3,,0,1,1259260421,1,Hypnose,Manuel Coursin,tutoriel,français
176,3,1,Cuisine et littérature,<p>Extrait d'une cassette trouvée</p>,<p>Extrait d'une cassette trouvée</p>,36_04_cuisine_et_litte9rature.mp3,audio/mpeg,3731247,1,1331743329,1,Cassette,Eve Couturier,Message,français
184,3,1,Ashanti,"<p>Jimmy et Imrul, extrait du projet <em>Radio Ld'A </em>de Lincoln Tobier, Laboratoires d'Aubervilliers, 2002</p>","<p>Jimmy et Imrul, extrait du projet <em>Radio Ld'A </em>de Lincoln Tobier, Laboratoires d'Aubervilliers, 2002</p>",Ashanti.mp3,,0,1,1259260425,1,Radio Ld'A,Manuel Coursin,Radio,français
186,3,1,Bergers,"<p>Appel de bergers, extrait de <em>Le berger, la stagiaire et les moutons</em> de Robin Hunzinger, Arte Radio, 2005</p>","<p>Appel de bergers, extrait de <em>Le berger, la stagiaire et les moutons</em> de Robin Hunzinger, Arte Radio, 2005</p>",Bergers.mp3,,0,1,1259260426,1,Berger,NULL,quotidien,français
189,3,1,C'est fini,"<p>Extrait du spectacle <em>Peter Peter Pet...er !!! </em> de Stéphanie Chêne, 2006</p>","<p>Extrait du spectacle <em>Peter Peter Pet...er !!! </em> de Stéphanie Chêne, 2006</p>",Cest_fini.mp3,,0,1,1259260427,1,Mehdi Ahoudig,NULL,théâtre,français
192,3,1,De tout mon amour,"<p>Extrait d'un blog vidéo, YouTube, 2007</p>","<p>Extrait d'un blog vidéo, YouTube, 2007</p>",De_tout_mon_amour.mp3,,0,1,1259260429,1,Ado,NULL,Message,français
194,3,1,Fabienne Tabard,"<p>Jean-Pierre Léaud, extrait du film <em>Baisers volés </em>de François Truffaut, 1968</p>","<p>Jean-Pierre Léaud, extrait du film <em>Baisers volés </em>de François Truffaut, 1968</p>",15_fabienne_tabard.mp3,audio/mpeg,3466888,1,1331743310,1,François Truffaut,Fanny de Challié,Film,français
195,3,1,Gospel,"<p>Sermon d'une pasteure aux États-Unis, extrait du disque <em>Les Voix du monde : une anthologie des expressions orales</em>, 1996</p>","<p>Sermon d'une pasteure aux États-Unis, extrait du disque <em>Les Voix du monde : une anthologie des expressions orales</em>, 1996</p>",Gospel.mp3,,0,1,1259260430,1,Pasteur,Joris Lacoste,Rituel,anglais
196,3,1,"Hey you, don't watch that","<p>Madness, extrait du disque <em>One Step Beyond</em>, 1979","<p>Madness, extrait du disque <em>One Step Beyond</em>, 1979",Hey_you_dont_watch_that.mp3,,0,1,1259260431,1,Madness,NULL,Musique,anglais
199,3,1,Itinéraire,"<p>René Lussier, extrait du disque <em>Le Trésor de la langue</em>, 1989</p>","<p>René Lussier, extrait du disque <em>Le Trésor de la langue</em>, 1989</p>",Itineraire.mp3,,0,1,1259260432,1,René Lussier,NULL,Musique,français
200,3,1,J'encule les punks,"<p>Enregistrement personnel d'Eve Couturier, 1979</p>","<p>Enregistrement personnel d'Eve Couturier, 1979</p>",Jencule_les_punks.mp3,,0,1,1259260433,1,Jeune,Eve Couturier,quotidien,français
201,3,1,Je suis venu te dire que je m'en vais,"<p>Maurice Garrel, extrait du disque <em>Serge Gainsbourg – Portraits</em>, 2003</p>","<p>Maurice Garrel, extrait du disque <em>Serge Gainsbourg – Portraits</em>, 2003</p>",Je_suis_venu_te_dire_que_je_men_vais.mp3,,0,1,1259260433,1,Maurice Garrel,Eve Couturier,poésie,français
204,3,1,Si tu aimes les grosses bêtes,"<p>Extrait du journal télévisé pour enfants <em>Les Z'infos</em>, Télé Kids, 2007</p>","<p>Extrait du journal télévisé pour enfants <em>Les Z'infos</em>, Télé Kids, 2007</p>",Les_Zinfos.mp3,,0,1,1259260434,1,Présentatrice,Fanny de Chaillé,Télévision,français
